ARMET,Cibersort,,,,
Epithelial,,,,,
Endothelial,,,,,
Fibroblast,,,,,
Eosinophil,Eosinophils,,,,
Neutrophil,Neutrophils,,,,
Monocyte,Monocytes,,,,
Macrophage M0,Macrophages M0,,,,
Macrophage M1,Macrophages M1,,,,
Macrophage M2,Macrophages M2,,,,
Dendritic resting,Dendritic cells resting,,,,
Dendritic activated,Dendritic cells activated,,,,
Mast cell activated,Mast cells activated,,,,
Mast cell resting,Mast cells resting,,,,
B cell naive,B cells naive,,,,
B cell memory,B cells memory,,,,
T CD8,T cells CD8,,,,
T helper 1,,,,,
T helper 2,,,,,
T helper follicular,T cells follicular helper,,,,
T gamma delta,T cells gamma delta,,,,
T reg,T cells regulatory (Tregs),,,,
T memory central,T cells CD4 memory resting,,,,
T memory effector,T cells CD4 memory activated,,,,
Nk activated,NK cells resting,,,,
Nk resting,NK cells activated,,,,
Plasma cell,Plasma cells,,,,
,T cells CD4 naive,,,,
,,,,,
,,,,,
